Wall time,Step,Value
1735039705.533729,60000,0.003658358
1735039747.0739264,120000,-0.016947459
1735039784.6031752,180000,-0.004259364
1735039821.846608,240000,-0.021175304
1735039859.4633646,300000,-0.003384463
1735039897.0373664,360000,-0.017110029
1735039934.7422538,420000,-0.034543339
1735039972.029893,480000,-0.030578392
1735040011.589578,540000,-0.025491269
1735040054.6265903,600000,-0.002474419
1735040096.8660321,660000,-0.011493015
1735040138.382756,720000,0.003630273
1735040179.480578,780000,-0.009030851
1735040221.5528326,840000,-0.011569134
1735040263.180228,900000,-0.013787587
1735040304.502648,960000,-0.027761618
1735040345.7303414,1020000,-0.003960291
1735040387.4596043,1080000,-0.013507652
1735040429.0090525,1140000,-0.015075366
1735040470.0908124,1200000,-0.009555562
1735040511.3579285,1260000,-0.011049302
1735040552.729093,1320000,-0.025686614
1735040594.2143881,1380000,-0.023359077
1735040635.766775,1440000,-0.025930563
1735040676.6778038,1500000,-0.01687824
1735040718.0001278,1560000,-0.037108738
1735040759.9306579,1620000,-0.027810924
1735040801.5837739,1680000,-0.032972001
1735040843.817302,1740000,-0.037230588
1735040885.3842912,1800000,-0.047489103
1735040927.1090748,1860000,-0.018494003
1735040968.4933887,1920000,-0.007542785
1735041010.7104855,1980000,-0.010860888
1735041052.456645,2040000,-0.045475449
1735041095.1006107,2100000,-0.020351108
1735041136.439523,2160000,-0.014002514
1735041177.7766678,2220000,-0.029690171
1735041220.3413906,2280000,-0.03430713
1735041261.6918147,2340000,-0.024816068
1735041302.6822917,2400000,-0.030300807
1735041344.3696449,2460000,-0.010665576
1735041385.3487093,2520000,-0.013322448
1735041427.214748,2580000,-0.035844706
1735041468.1038387,2640000,-0.024273714
1735041506.3702474,2700000,-0.015698591
1735041543.8814793,2760000,-0.017590873
1735041581.4404707,2820000,-0.02717692
1735041619.189746,2880000,-0.01524032
1735041656.739153,2940000,-0.021828333
1735041695.4817083,3000000,-0.021511937
1735041732.8593717,3060000,-0.009762541
1735041770.5869412,3120000,-0.036805566
1735041808.2662568,3180000,-0.008782927
1735041845.7426748,3240000,-0.002218533
1735041882.9116397,3300000,-0.033177853
1735041920.6542225,3360000,-0.011222983
1735041958.4424214,3420000,-0.020168526
1735041996.3095572,3480000,-0.012716707
1735042034.2323275,3540000,-0.014973911
1735042071.742474,3600000,-0.017172972
1735042109.5669935,3660000,-0.02363437
1735042147.1983254,3720000,-0.001430194
1735042184.8633134,3780000,-0.001379331
1735042222.4562607,3840000,0.033885989
1735042260.6455593,3900000,0.001161146
1735042298.5132868,3960000,0.18090231716632843
1735042336.0810175,4020000,0.024580574
1735042373.5466185,4080000,0.054641947
1735042411,4140000,0.068514951
