Wall time,Step,Value
1735304707.8531804,60000,-0.3833160400390625
1735304734.3370638,120000,-0.6518096923828125
1735304759.718613,180000,-0.2193756103515625
1735304785.4994726,240000,-1.6185302734375
1735304811.509446,300000,-1.498199462890625
1735304837.0105538,360000,-1.8501434326171875
1735304862.1920052,420000,-1.1806564331054688
1735304887.8272328,480000,-2.944141387939453
1735304913.054975,540000,-2.0463790893554688
1735304938.544132,600000,-0.9825363159179688
1735304965.1552043,660000,-1.4083099365234375
1735304992.0946026,720000,-1.83648681640625
1735305017.6855757,780000,-1.03582763671875
1735305043.2676165,840000,-2.30780029296875
1735305068.9785645,900000,-1.4491233825683594
1735305095.8513682,960000,-1.2286453247070312
1735305121.962645,1020000,-0.5063819885253906
1735305147.7112055,1080000,-0.8608856201171875
1735305175.033021,1140000,-0.982574462890625
1735305202.3343613,1200000,-0.7408790588378906
1735305228.9477348,1260000,-0.8369827270507812
1735305255.92783,1320000,-0.6679840087890625
1735305281.7987242,1380000,-0.5773277282714844
1735305307.9000099,1440000,-1.1783218383789062
1735305334.0034363,1500000,-0.7488784790039062
1735305360.093595,1560000,-0.7664947509765625
1735305387.5457664,1620000,-0.5767364501953125
1735305415.7761402,1680000,-1.6153793334960938
1735305442.5598514,1740000,-0.8919601440429688
1735305471.404475,1800000,-0.8813323974609375
1735305498.530155,1860000,-0.6860504150390625
1735305525.457935,1920000,-0.6011199951171875
1735305551.5105426,1980000,-0.3625221252441406
1735305577.7819643,2040000,-2.8069915771484375
1735305604.2250974,2100000,-0.82916259765625
1735305630.9688818,2160000,-0.9016571044921875
1735305658.0497797,2220000,-0.459014892578125
1735305684.7554145,2280000,-0.9205245971679688
1735305711.407359,2340000,-1.1667022705078125
1735305738.9400692,2400000,-1.01239013671875
1735305765.2807393,2460000,-0.6458663940429688
1735305792.572187,2520000,-0.57159423828125
1735305820.0121567,2580000,-1.0097198486328125
1735305847.600554,2640000,-2.0240020751953125
1735305874.8119318,2700000,-0.8209075927734375
1735305901.1157298,2760000,-1.1312942504882812
1735305927.1399117,2820000,-1.508758544921875
1735305953.7733994,2880000,-1.9132080078125
1735305979.6529317,2940000,-0.8729400634765625
1735306006.1790638,3000000,-0.9253311157226562
1735306031.6836991,3060000,-1.1711502075195312
1735306057.2418528,3120000,-0.5701141357421875
1735306082.5658915,3180000,-0.6859588623046875
1735306108.3393688,3240000,-0.5790328979492188
1735306133.9616287,3300000,-0.8637771606445312
1735306159.355815,3360000,-0.726837158203125
1735306184.9870107,3420000,-0.7493896484375
1735306210.6387246,3480000,-0.6722412109375
1735306236.634228,3540000,-0.7014312744140625
1735306262.9256694,3600000,-0.4501495361328125
1735306290.1678698,3660000,-0.6844329833984375
1735306315.8594155,3720000,-0.5960540771484375
1735306342.0206444,3780000,-0.4787139892578125
1735306368.8375192,3840000,-0.5492095947265625
1735306396.1030452,3900000,-0.46157073974609375
1735306421.6753519,3960000,-0.40467071533203125
1735306447.6153018,4020000,-0.4573707580566406
1735306474.264683,4080000,-1.4814643859863281
1735306500.2417707,4140000,-1.2060050964355469
1735306526.1590757,4200000,-1.3029747009277344
1735306553.6129823,4260000,-1.8978309631347656
1735306580.9583583,4320000,-0.8286514282226562
1735306614.3712668,4380890,-1.3437538146972656
1735306641.393345,4440890,-1.2990264892578125
1735306673.229251,4500890,-0.96795654296875
1735306705.5246344,4561243,-2.206258773803711
1735306740.0234468,4621444,-1.2989006042480469
1735306771.790196,4681444,-0.912445068359375
1735306803.930466,4741823,-0.8360023498535156
1735306836.8014047,4801823,-0.8970870971679688
1735306873.648753,4862165,-0.927978515625
1735306905.7099745,4922165,-0.4894866943359375
1735306941.7787461,4982662,-1.1114959716796875
1735306974.236873,5043082,-0.4410247802734375
1735307006.4335432,5103082,-1.1045494079589844
1735307041.133636,5163675,-0.91534423828125
1735307073.67284,5224255,-1.3363227844238281
1735307108.4218607,5284810,-0.6971282958984375
1735307140.6074579,5345635,-0.9022064208984375
1735307172.4985676,5406375,-0.5973739624023438
1735307209.041601,5467451,-0.9590301513671875
1735307241.0895302,5527808,-1.8778533935546875
1735307273.3264177,5588334,-1.0176544189453125
1735307305.1131563,5648592,-1.1294097900390625
1735307337.2433913,5709337,-1.1202926635742188
1735307369.4818718,5770323,-4.34092903137207
1735307401.4950776,5830922,-1.6613922119140625
1735307433.7074473,5891656,-1.8126029968261719
1735307466.9655278,5952364,-1.3474235534667969
1735307499.4054232,6012794,-1.6884384155273438
1735307532.7477586,6073769,-3.352611541748047
1735307564.8485641,6134045,-4.127960205078125
1735307599.342259,6194797,-1.785308837890625
1735307631.6232915,6255754,-1.6600570678710938
1735307664.3193948,6317123,-2.3130722045898438
1735307695.990577,6377361,-1.963897705078125
1735307727.8945372,6438384,-4.387607574462891
1735307759.9687848,6498759,-3.3173789978027344
1735307793.7676435,6559581,-2.4207077026367188
1735307825.8767455,6620491,-3.0585250854492188
1735307858.1326292,6681082,-2.1836395263671875
1735307890.5857031,6741299,-1.1961517333984375
1735307923.1186547,6802472,-2.98492431640625
1735307957.9020014,6863048,-2.0034866333007812
1735307989.7230098,6923860,-2.5712432861328125
